"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_05181"	"read_depth"	"read_depth"	-0.00594856694711333	0.000106414165908429	0.00104269384269964	"abundance"
"bac16SV4_L100_Nextseq_05648"	"read_depth"	"read_depth"	-0.00594856694711347	0.000106414165908337	0.00104269384269964	"abundance"
"bac16SV4_L100_Nextseq_06747"	"day"	"day"	-0.12381496337977	0.000121863959150651	0.00118489264897248	"abundance"
"bac16SV4_L100_Nextseq_06248"	"day"	"day"	-0.115716340154939	0.000136992798366551	0.00132182364225435	"abundance"
"bac16SV4_L100_Nextseq_03647"	"read_depth"	"read_depth"	-0.151782237888988	0.000138147549370256	0.00132286744245457	"abundance"
"bac16SV4_L100_Nextseq_00059"	"read_depth"	"read_depth"	0.167563539983759	0.000155145250216845	0.00147446312988039	"abundance"
"bac16SV4_L100_Nextseq_04459"	"day"	"day"	-0.0820015442898449	0.000192816345088283	0.00181880492680291	"abundance"
"bac16SV4_L100_Nextseq_06945"	"day"	"day"	-0.0343272523842298	0.000245421700935376	0.0022978742961653	"abundance"
"bac16SV4_L100_Nextseq_01003"	"day"	"day"	-0.112789954683151	0.000259563179275561	0.00241241072503169	"abundance"
"bac16SV4_L100_Nextseq_03991"	"day"	"day"	0.0590109647664018	0.000287029304274545	0.00264821197520456	"abundance"
"bac16SV4_L100_Nextseq_00100"	"day"	"day"	0.175512247406859	0.000324915376298855	0.00297603649015763	"abundance"
"bac16SV4_L100_Nextseq_06746"	"day"	"day"	-0.0983330269439196	0.000330052514925563	0.00300134085515044	"abundance"
"bac16SV4_L100_Nextseq_02718"	"read_depth"	"read_depth"	-0.158441655699895	0.000337307333728854	0.00304540335595194	"abundance"
"bac16SV4_L100_Nextseq_08008"	"day"	"day"	-0.107399940342549	0.000378021189485931	0.00338878569865402	"abundance"
"bac16SV4_L100_Nextseq_04575"	"day"	"day"	-0.107378910578391	0.000437159005579081	0.00386411876260111	"abundance"
"bac16SV4_L100_Nextseq_13518"	"day"	"day"	-0.0399657885407644	0.000435558518530066	0.00386411876260111	"abundance"
"bac16SV4_L100_Nextseq_06944"	"day"	"day"	-0.0906565956255707	0.000445891505990012	0.00391393655257899	"abundance"
"bac16SV4_L100_Nextseq_04005"	"read_depth"	"read_depth"	-0.11610206040849	0.000459640541505124	0.00400679754801708	"abundance"
"bac16SV4_L100_Nextseq_08456"	"day"	"day"	-0.0809124923507005	0.000471855115451779	0.00405731201313639	"abundance"
"bac16SV4_L100_Nextseq_08818"	"day"	"day"	-0.0554994525165921	0.000469430900227601	0.00405731201313639	"abundance"
"bac16SV4_L100_Nextseq_00033"	"day"	"day"	0.390470660234794	0.000481408732274716	0.00411149079456244	"abundance"
"bac16SV4_L100_Nextseq_06496"	"day"	"day"	-0.0446987444088624	0.000520583919229724	0.00441622868393538	"abundance"
"bac16SV4_L100_Nextseq_00031"	"day"	"day"	0.292756665737905	0.000549994931637712	0.00463462395726712	"abundance"
"bac16SV4_L100_Nextseq_09211"	"day"	"day"	-0.0753135098959911	0.000575441405774103	0.00481693997946004	"abundance"
"bac16SV4_L100_Nextseq_00004"	"day"	"day"	0.619299048226165	0.000612151496844131	0.00509052297375646	"abundance"
"bac16SV4_L100_Nextseq_00304"	"read_depth"	"read_depth"	-0.365167372883877	0.000727370010401389	0.0060091221774337	"abundance"
"bac16SV4_L100_Nextseq_08946"	"read_depth"	"read_depth"	-0.0327982692847983	0.000788381346244931	0.00647087027047787	"abundance"
