"feature"	"metadata"	"value"	"coef"	"pval_individual"	"error"	"qval_individual"	"pval_joint"	"qval_joint"	"association"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.D_4__uncultured.bacterium.D_5__uncultured.bacterium"	"Diet"	"Keto"	-0.425360742990606	1	NA	1	0.0395419508148464	0.122114848104673	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__.Eubacterium..ventriosum.group"	"Day"	"Day"	-1.02296621521166	0.324203914117038	NA	0.603909251786639	0.0408661757062493	0.124375317366846	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__.Eubacterium..xylanophilum.group"	"Diet"	"Keto"	-0.321825387665765	1	NA	1	0.0421546964275116	0.125333729185	"abundance"
"D_0__Bacteria.D_1__Verrucomicrobia.D_2__Verrucomicrobiae.D_3__Verrucomicrobiales.D_4__Akkermansiaceae.D_5__Akkermansia"	"Diet"	"Keto"	2.56315450408946	0.0423747370101668	NA	0.143771429141637	0.0423747370101668	0.125333729185	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.6"	"Day"	"Day"	-0.825697615648818	1	NA	1	0.0433667497493377	0.126486353435568	"abundance"
"D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Betaproteobacteriales.D_4__Burkholderiaceae.D_5__Parasutterella"	"Day"	"Day"	0.264440034380239	0.0253005379494876	NA	0.0942569060863265	0.0499609586784418	0.143723305787298	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiaceae.1.D_5__Candidatus.Arthromitus"	"Diet"	"Keto"	0.388446974869597	0.494571020529179	NA	0.800856635940992	0.0509761448172739	0.144662032589561	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.009"	"Day"	"Day"	-1.04015348446992	0.0539165280065503	NA	0.165228069697493	0.0539165280065503	0.150966278418341	"abundance"
"D_0__Bacteria.D_1__Proteobacteria.D_2__Gammaproteobacteria.D_3__Enterobacteriales.D_4__Enterobacteriaceae.D_5__Escherichia.Shigella"	"Day"	"Day"	-0.408987489538029	1	NA	1	0.0547984902858032	0.151416881052877	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.__"	"Diet"	"Keto"	0.832677931611664	0.0562366103090185	NA	0.168304717158628	0.0562366103090185	0.15337257357005	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.013"	"Day"	"Day"	-0.316750016297113	0.161285073661502	NA	0.373709317020554	0.059450872470678	0.16006004126721	"abundance"
"D_0__Bacteria.D_1__Cyanobacteria.D_2__Melainabacteria.D_3__Gastranaerophilales.D_4__uncultured.bacterium.D_5__uncultured.bacterium"	"Day"	"Day"	-0.421213323518197	1	NA	1	0.0670521796540565	0.178033876619572	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.__.__"	"Diet"	"Keto"	3.61701932662783	0.0676113374839119	NA	0.184708423787707	0.0703657702829738	0.178033876619572	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnospiraceae.UCG.006"	"Day"	"Day"	-1.34161823518217	0.0690226215206693	NA	0.184708423787707	0.0690226215206693	0.178033876619572	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__.Eubacterium..coprostanoligenes.group"	"Day"	"Day"	-0.882649559972933	0.28484947696863	NA	0.55847061038504	0.0695712206103302	0.178033876619572	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Anaerotruncus"	"Day"	"Day"	-1.02182346893613	0.068897827364229	NA	0.184708423787707	0.068897827364229	0.178033876619572	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.__"	"Day"	"Day"	0.41693694470937	0.520656505573542	NA	0.806551282371885	0.0738240685846358	0.184560171461589	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcus.1"	"Diet"	"Keto"	1.04201760090215	0.0802538455189162	NA	0.208879871898549	0.0802538455189162	0.198274206576146	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.bacterium"	"Diet"	"Keto"	-2.00933861597445	0.045505525133876	NA	0.149069823714422	0.0889402974500423	0.21468347660355	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Tyzzerella"	"Diet"	"Keto"	0.971106369639247	0.0495545728874436	NA	0.159582522857869	0.0966534900808303	0.228058796819937	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.UCG.010"	"Day"	"Day"	-0.0453265280344868	0.0590561945447784	NA	0.170010257022847	0.0958354138564337	0.228058796819937	"abundance"
"D_0__Bacteria.D_1__Bacteroidetes.D_2__Bacteroidia.D_3__Bacteroidales.D_4__Muribaculaceae.D_5__Gram.negative.bacterium.cTPY.13"	"Day"	"Day"	-1.39181369597835	0.0505250315674265	NA	0.159995933296851	0.0984972843199636	0.229826996746582	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__uncultured"	"Diet"	"Keto"	0.735003369386724	0.0997590546787007	NA	0.256138113364232	0.0997590546787007	0.230213203104694	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Bacilli.D_3__Lactobacillales.D_4__Streptococcaceae.D_5__Lactococcus"	"Diet"	"Keto"	-0.852267049397139	0.0534611638340936	NA	0.165228069697493	0.104064231629691	0.237537920024296	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Lachnospiraceae.D_5__Lachnospiraceae.NK4A136.group"	"Day"	"Day"	-1.03144212673247	0.113691396113808	NA	0.28422849028452	0.113691396113808	0.25672250735376	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Bacilli.D_3__Lactobacillales.D_4__Enterococcaceae.D_5__Enterococcus"	"Diet"	"Keto"	2.3539571560378	0.063830121051632	NA	0.178348867644266	0.123585957749798	0.273190011867975	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminococcaceae.NK4A214.group"	"Diet"	"Keto"	-0.426491308543758	1	NA	1	0.123130746548598	0.273190011867975	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Ruminiclostridium.9"	"Day"	"Day"	-0.185246744386548	0.127856679547215	NA	0.303659613924636	0.127856679547215	0.279686486509533	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Eubacteriaceae.D_5__Anaerofustis"	"Diet"	"Keto"	-1.06507921253002	0.201020529643561	NA	0.444115123631123	0.131973796303464	0.285716466223995	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.bacterium"	"Day"	"Day"	-0.797511862937416	1	NA	1	0.136689972408691	0.29290708373291	"abundance"
"D_0__Bacteria.D_1__Actinobacteria.D_2__Coriobacteriia.D_3__Coriobacteriales.D_4__Eggerthellaceae.__"	"Day"	"Day"	-0.530546914863273	1	NA	1	0.144821741189811	0.307197632826871	"abundance"
"D_0__Bacteria.D_1__Actinobacteria.D_2__Actinobacteria.D_3__Bifidobacteriales.D_4__Bifidobacteriaceae.D_5__Bifidobacterium"	"Diet"	"Keto"	-1.41699977473879	0.513478841078243	NA	0.806289089296415	0.147060950303866	0.308827995638118	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Ruminococcaceae.D_5__Butyricicoccus"	"Diet"	"Keto"	-2.22133558484918	0.0783859439423396	NA	0.206851796514507	0.150627531676948	0.313185956952069	"abundance"
"D_0__Bacteria.D_1__Tenericutes.D_2__Mollicutes.D_3__Mollicutes.RF39.D_4__unidentified.D_5__unidentified"	"Diet"	"Keto"	0.0851121812052818	0.801499934491557	NA	1	0.154855876685939	0.318820922588699	"abundance"
"D_0__Bacteria.D_1__Firmicutes.D_2__Clostridia.D_3__Clostridiales.D_4__Clostridiales.vadinBB60.group.D_5__uncultured.Clostridia.bacterium"	"Diet"	"Keto"	-0.79804666593486	0.59533543396651	NA	0.904909859629096	0.161268968976123	0.328800810533844	"abundance"
